step,field,value,outcome,latency_ms,seen
66,temperature,25,match,714.1,"{'hvac_mode': 'cool', 'temperature': 25, 'fan_mode': 'auto', 'swing_mode': 'off'}"
67,temperature,24,match,608.0,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'auto', 'swing_mode': 'off'}"
68,temperature,23,match,607.2,"{'hvac_mode': 'cool', 'temperature': 23, 'fan_mode': 'auto', 'swing_mode': 'off'}"
69,temperature,22,match,607.5,"{'hvac_mode': 'cool', 'temperature': 22, 'fan_mode': 'auto', 'swing_mode': 'off'}"
70,temperature,21,match,633.8,"{'hvac_mode': 'cool', 'temperature': 21, 'fan_mode': 'auto', 'swing_mode': 'off'}"
71,temperature,20,match,603.1,"{'hvac_mode': 'cool', 'temperature': 20, 'fan_mode': 'auto', 'swing_mode': 'off'}"
72,temperature,19,match,639.1,"{'hvac_mode': 'cool', 'temperature': 19, 'fan_mode': 'auto', 'swing_mode': 'off'}"
73,temperature,18,match,609.7,"{'hvac_mode': 'cool', 'temperature': 18, 'fan_mode': 'auto', 'swing_mode': 'off'}"
74,temperature,17,match,619.6,"{'hvac_mode': 'cool', 'temperature': 17, 'fan_mode': 'auto', 'swing_mode': 'off'}"
75,temperature,16,match,618.0,"{'hvac_mode': 'cool', 'temperature': 16, 'fan_mode': 'auto', 'swing_mode': 'off'}"
76,temperature,15,match,612.7,"{'hvac_mode': 'cool', 'temperature': 15, 'fan_mode': 'auto', 'swing_mode': 'off'}"
77,temperature,14,match,611.6,"{'hvac_mode': 'cool', 'temperature': 14, 'fan_mode': 'auto', 'swing_mode': 'off'}"
78,temperature,13,match,621.6,"{'hvac_mode': 'cool', 'temperature': 13, 'fan_mode': 'auto', 'swing_mode': 'off'}"
79,temperature,12,match,624.1,"{'hvac_mode': 'cool', 'temperature': 12, 'fan_mode': 'auto', 'swing_mode': 'off'}"
80,temperature,11,match,609.7,"{'hvac_mode': 'cool', 'temperature': 11, 'fan_mode': 'auto', 'swing_mode': 'off'}"
81,temperature,10,match,649.0,"{'hvac_mode': 'cool', 'temperature': 10, 'fan_mode': 'auto', 'swing_mode': 'off'}"
82,temperature,11,match,603.1,"{'hvac_mode': 'cool', 'temperature': 11, 'fan_mode': 'auto', 'swing_mode': 'off'}"
83,temperature,12,match,597.6,"{'hvac_mode': 'cool', 'temperature': 12, 'fan_mode': 'auto', 'swing_mode': 'off'}"
84,temperature,13,match,602.9,"{'hvac_mode': 'cool', 'temperature': 13, 'fan_mode': 'auto', 'swing_mode': 'off'}"
85,temperature,14,match,638.8,"{'hvac_mode': 'cool', 'temperature': 14, 'fan_mode': 'auto', 'swing_mode': 'off'}"
86,temperature,15,match,627.8,"{'hvac_mode': 'cool', 'temperature': 15, 'fan_mode': 'auto', 'swing_mode': 'off'}"
87,temperature,16,match,604.4,"{'hvac_mode': 'cool', 'temperature': 16, 'fan_mode': 'auto', 'swing_mode': 'off'}"
88,temperature,17,match,608.9,"{'hvac_mode': 'cool', 'temperature': 17, 'fan_mode': 'auto', 'swing_mode': 'off'}"
89,temperature,18,match,631.3,"{'hvac_mode': 'cool', 'temperature': 18, 'fan_mode': 'auto', 'swing_mode': 'off'}"
90,temperature,19,match,619.3,"{'hvac_mode': 'cool', 'temperature': 19, 'fan_mode': 'auto', 'swing_mode': 'off'}"
91,temperature,20,match,636.2,"{'hvac_mode': 'cool', 'temperature': 20, 'fan_mode': 'auto', 'swing_mode': 'off'}"
92,temperature,21,match,662.5,"{'hvac_mode': 'cool', 'temperature': 21, 'fan_mode': 'auto', 'swing_mode': 'off'}"
93,temperature,22,match,618.7,"{'hvac_mode': 'cool', 'temperature': 22, 'fan_mode': 'auto', 'swing_mode': 'off'}"
94,temperature,23,match,619.0,"{'hvac_mode': 'cool', 'temperature': 23, 'fan_mode': 'auto', 'swing_mode': 'off'}"
95,temperature,24,match,615.1,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'auto', 'swing_mode': 'off'}"
96,hvac_mode,heat,match,603.7,"{'hvac_mode': 'heat', 'temperature': 24, 'fan_mode': 'auto', 'swing_mode': 'off'}"
97,hvac_mode,heat_cool,match,615.2,"{'hvac_mode': 'heat_cool', 'temperature': 24, 'fan_mode': 'auto', 'swing_mode': 'off'}"
98,hvac_mode,dry,match,606.8,"{'hvac_mode': 'dry', 'temperature': 24, 'fan_mode': 'auto', 'swing_mode': 'off'}"
99,hvac_mode,fan_only,match,605.2,"{'hvac_mode': 'fan_only', 'temperature': 24, 'fan_mode': 'auto', 'swing_mode': 'off'}"
100,hvac_mode,off,match,607.3,"{'hvac_mode': 'off', 'temperature': 24, 'fan_mode': 'auto', 'swing_mode': 'off'}"
101,hvac_mode,cool,match,632.5,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'auto', 'swing_mode': 'off'}"
102,fan_mode,quiet,match,717.2,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'quiet', 'swing_mode': 'off'}"
103,fan_mode,low,match,622.5,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'low', 'swing_mode': 'off'}"
104,fan_mode,medium,match,603.0,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'medium', 'swing_mode': 'off'}"
105,fan_mode,high,match,639.0,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'high', 'swing_mode': 'off'}"
106,fan_mode,auto,match,626.1,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'auto', 'swing_mode': 'off'}"
107,swing_mode,vertical,match,627.0,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'auto', 'swing_mode': 'vertical'}"
108,swing_mode,horizontal,match,625.0,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'auto', 'swing_mode': 'horizontal'}"
109,swing_mode,both,match,628.1,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'auto', 'swing_mode': 'both'}"
110,swing_mode,off,match,638.6,"{'hvac_mode': 'cool', 'temperature': 24, 'fan_mode': 'auto', 'swing_mode': 'off'}"
